Ticker,Start_Date,Q1_Price,Q1_Percent_Change,Q2_Price,Q2_Percent_Change,Q3_Price,Q3_Percent_Change,Q4_Price,Q4_Percent_Change,Portfolio_Weight,Negative_Quarters_Impact
XEL,2023-01-01,63.2,-2.77,58.71,-7.1,54.52,-7.14,59.54,9.21,0.07,0.0
TRGP,2023-01-01,71.9,3.13,73.31,1.96,82.83,12.99,85.06,2.69,0.07,0.0
A,2023-01-01,135.49,-9.56,118.75,-12.36,109.73,-7.6,137.24,25.07,0.07,-85.43
IT,2023-01-01,323.27,-4.76,348.03,7.66,343.47,-1.31,446.82,30.09,0.07,0.0
LVS,2023-01-01,57.8,20.95,56.62,-2.04,44.33,-21.71,47.78,7.78,0.07,-147.97
SYY,2023-01-01,73.24,1.82,70.46,-3.8,63.33,-10.12,70.54,11.38,0.07,-68.84
VLO,2023-01-01,133.38,13.68,112.23,-15.86,135.49,20.73,125.92,-7.06,0.07,-107.13
OTIS,2023-01-01,81.62,7.13,85.99,5.35,78.17,-9.09,86.64,10.84,0.07,0.0
LEN,2023-01-01,98.46,14.38,118.9,20.76,105.71,-11.09,140.19,32.62,0.07,-74.44
EXC,2023-01-01,38.72,-2.49,37.94,-2.01,35.42,-6.64,34.0,-4.01,0.07,0.0
