Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,M3_Price,M3_Percent_Change,M4_Price,M4_Percent_Change,M5_Price,M5_Percent_Change,M6_Price,M6_Percent_Change,M7_Price,M7_Percent_Change,M8_Price,M8_Percent_Change,M9_Price,M9_Percent_Change,M10_Price,M10_Percent_Change,M11_Price,M11_Percent_Change,Portfolio_Weight,Negative_Periods_Impact
BMY,2023-01-01,66.83,2.44,62.95,-5.81,63.25,0.48,62.15,-1.74,59.55,-4.18,59.07,-0.81,58.08,-1.68,57.63,-0.77,54.07,-6.18,48.83,-9.69,46.51,-4.75,0.21,0.0
LMT,2023-01-01,435.6,-4.32,448.54,2.97,448.28,-0.06,440.74,-1.68,425.16,-3.53,438.9,3.23,426.53,-2.82,432.53,1.41,392.81,-9.18,438.31,11.58,433.76,-1.04,0.21,0.0
GILD,2023-01-01,77.71,-1.26,74.32,-4.36,77.45,4.21,77.01,-0.57,72.41,-5.97,71.9,-0.7,71.74,-0.22,72.81,1.49,71.41,-1.92,75.21,5.32,73.1,-2.81,0.21,0.0
NKE,2023-01-01,123.51,7.89,113.9,-7.78,118.64,4.16,122.92,3.61,100.89,-17.92,107.91,6.96,106.88,-0.95,99.08,-7.3,93.79,-5.34,99.98,6.6,107.56,7.58,0.21,-369.23
CB,2023-01-01,211.14,-1.09,203.77,-3.49,189.51,-7.0,196.14,3.5,182.38,-7.02,187.85,3.0,200.89,6.94,198.32,-1.28,203.49,2.61,212.23,4.3,224.48,5.77,0.2,0.0
UPS,2023-01-01,167.05,5.97,166.01,-0.62,175.96,5.99,164.21,-6.68,154.32,-6.02,164.23,6.42,172.15,4.82,158.52,-7.92,144.23,-9.01,131.43,-8.87,142.95,8.77,0.19,0.0
ADI,2023-01-01,164.61,3.48,177.47,7.81,189.64,6.86,174.47,-8.0,172.99,-0.85,188.13,8.75,191.68,1.89,177.1,-7.61,170.53,-3.71,153.44,-10.02,178.1,16.07,0.19,-189.48
MMC,2023-01-01,168.36,4.58,157.11,-6.68,161.1,2.54,175.54,8.96,169.42,-3.49,182.01,7.43,184.34,1.28,191.57,3.92,185.3,-3.27,187.1,0.97,195.34,4.4,0.19,0.0
MDT,2023-01-01,78.57,7.73,77.07,-1.91,75.8,-1.65,85.69,13.05,78.15,-8.8,83.24,6.51,83.01,-0.28,78.07,-5.95,74.7,-4.32,67.62,-9.48,75.84,12.16,0.19,0.0
VRTX,2023-01-01,321.5,11.4,289.06,-10.09,315.0,8.97,340.22,8.01,324.47,-4.63,348.77,7.49,351.42,0.76,352.31,0.25,346.76,-1.58,364.95,5.25,355.11,-2.7,0.18,-185.72
MU,2023-01-01,59.95,19.9,57.22,-4.55,59.15,3.37,63.31,7.03,68.31,7.9,62.86,-7.98,70.49,12.14,69.7,-1.12,67.75,-2.8,66.63,-1.65,75.59,13.45,0.18,0.0
SBUX,2023-01-01,103.46,8.37,97.51,-5.75,99.29,1.83,109.01,9.79,93.58,-14.15,94.67,1.16,97.3,2.78,94.86,-2.51,87.77,-7.47,88.53,0.87,95.48,7.85,0.18,-253.92
PLD,2023-01-01,121.58,13.25,114.68,-5.68,117.61,2.55,118.61,0.85,117.17,-1.21,116.23,-0.8,118.98,2.37,119.83,0.71,107.47,-10.31,97.25,-9.51,110.71,13.84,0.17,-177.5
LRCX,2023-01-01,47.68,16.04,46.85,-1.74,50.29,7.34,50.27,-0.04,59.18,17.72,61.86,4.53,68.21,10.27,68.25,0.06,60.54,-11.3,57.22,-5.48,68.73,20.12,0.17,-187.79
MO,2023-01-01,38.86,0.7,39.06,0.51,38.54,-1.33,40.98,6.33,38.46,-6.15,39.76,3.38,40.2,1.11,39.1,-2.74,37.8,-3.32,36.25,-4.1,37.92,4.61,0.16,0.0
SO,2023-01-01,62.01,-5.52,58.11,-6.29,64.19,10.46,68.23,6.29,65.59,-3.87,66.07,0.73,67.74,2.53,64.6,-4.64,60.88,-5.76,64.05,5.21,67.82,5.89,0.16,0.0
EQIX,2023-01-01,700.72,10.51,654.65,-6.57,686.12,4.81,694.43,1.21,717.2,3.28,746.12,4.03,776.88,4.12,764.38,-1.61,700.91,-8.3,707.6,0.95,796.15,12.51,0.16,0.0
CRWD,2023-01-01,105.9,-1.49,120.23,13.53,135.5,12.7,118.56,-12.5,146.72,23.75,147.18,0.31,161.0,9.39,163.12,1.32,168.0,2.99,178.12,6.02,235.72,32.34,0.16,-200.68
PYPL,2023-01-01,81.34,10.38,73.63,-9.48,75.62,2.7,76.03,0.54,62.41,-17.91,67.12,7.55,76.19,13.51,63.13,-17.14,58.62,-7.14,51.91,-11.45,57.63,11.02,0.16,-730.78
SHW,2023-01-01,231.38,-1.84,215.16,-7.01,223.0,3.64,233.01,4.49,224.38,-3.7,259.02,15.44,272.09,5.05,269.73,-0.87,250.92,-6.97,234.67,-6.48,275.27,17.3,0.16,0.0
