Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,Final_Rolling_Performance,Num_Sell_Events,Total_Reset_Value,Portfolio_Weight,Sell_Events_Impact,Rolling_Performance_Track
AMAT,2025-01-01,174.92,6.6,159.73,-8.68,-2.08,0,0.0,0.24,0.0,M1:6.6% -> M2:-2.08%
BA,2025-01-01,174.11,-2.36,177.02,1.67,-0.69,0,0.0,0.24,0.0,M1:-2.36% -> M2:-0.69%
BSX,2025-01-01,101.41,12.65,104.85,3.39,16.04,0,0.0,0.24,0.0,M1:12.65% -> M2:16.04%
C,2025-01-01,77.96,10.66,80.0,2.62,13.28,0,0.0,0.24,0.0,M1:10.66% -> M2:13.28%
UBER,2025-01-01,65.3,5.0,77.06,18.01,23.01,0,0.0,0.23,0.0,M1:5.0% -> M2:23.01%
COP,2025-01-01,97.96,-1.25,99.75,1.83,0.58,0,0.0,0.22,0.0,M1:-1.25% -> M2:0.58%
PANW,2025-01-01,181.56,-1.59,191.5,5.47,3.88,0,0.0,0.22,0.0,M1:-1.59% -> M2:3.88%
ADP,2025-01-01,303.3,3.22,316.01,4.19,7.41,0,0.0,0.22,0.0,M1:3.22% -> M2:7.41%
DE,2025-01-01,464.15,8.93,484.07,4.29,13.22,0,0.0,0.21,0.0,M1:8.93% -> M2:13.22%
FI,2025-01-01,214.41,3.58,235.47,9.82,13.4,0,0.0,0.21,0.0,M1:3.58% -> M2:13.4%
BMY,2025-01-01,58.79,4.4,59.75,1.63,6.03,0,0.0,0.21,0.0,M1:4.4% -> M2:6.03%
LMT,2025-01-01,455.44,-5.58,452.87,-0.56,-6.14,0,0.0,0.21,0.0,M1:-5.58% -> M2:-6.14%
GILD,2025-01-01,97.03,4.76,114.89,18.41,23.17,0,0.0,0.21,0.0,M1:4.76% -> M2:23.17%
NKE,2025-01-01,74.52,-1.78,79.99,7.34,5.56,0,0.0,0.21,0.0,M1:-1.78% -> M2:5.56%
